iter	Logloss
0	0.5659209005
1	0.4985795465
2	0.4699959081
3	0.446362127
4	0.4369337178
5	0.4269484249
6	0.4144404323
7	0.4044053152
8	0.3986794686
9	0.3932557341
10	0.3857334925
11	0.3803432119
12	0.3718748422
13	0.3682840586
14	0.3651779779
15	0.3614910554
16	0.3587860242
17	0.3541139624
18	0.3511343311
19	0.3491356782
20	0.3470810103
21	0.3446505106
22	0.3424940783
23	0.3379567815
24	0.3362666954
25	0.3344911674
26	0.3318898495
27	0.3295316391
28	0.3257906436
29	0.3239265305
30	0.3212838006
31	0.3195733463
32	0.3176563564
33	0.3162430046
34	0.3147723904
35	0.3135721156
36	0.3090233927
37	0.3052706635
38	0.3033368202
39	0.3014177748
